org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
371250364,IL,Illinois,HABITAT FOR HUMANITY INTERNATIONAL INC,2744 S 6TH ST,SPRINGFIELD,17167,1987,L192,Midwest,East North Central
371265166,IL,Illinois,EMERSON PARK DEVELOPMENT CORPORATION,1798 SUMMIT AVE,E SAINT LOUIS,17163,1989,S20,Midwest,East North Central
371267589,IL,Illinois,SOUTHERN ILLINOIS COALITION FOR THE HOMELESS,PO BOX 655,MARION,17199,1991,P85,Midwest,East North Central
371271909,IL,Illinois,FLORA COMMUNITY DEVELOPMENT CORPORATION,223 WEST RAILROAD STREET,FLORA,17025,1997,S20,Midwest,East North Central
371284816,IL,Illinois,CHAMPAIGN COUNTY COMMUNITY DEVELOPMENT CORPORATION,1776 E WASHINGTON ST,URBANA,17019,1991,S20,Midwest,East North Central
371288358,IL,Illinois,ENOS PARK NEIGHBORHOOD IMPROVEMENT ASSOCIATION,1015 N 7TH ST,SPRINGFIELD,17167,2001,S20,Midwest,East North Central
371291415,IL,Illinois,HABITAT FOR HUMANITY INTERNATIONAL INC,PO BOX 414,JACKSONVILLE,17137,1987,L20,Midwest,East North Central
371293865,IL,Illinois,COMMUNITY INVESTMENT CORPORATION OF DECATUR INC,PO BOX 228,DECATUR,17115,1992,S31,Midwest,East North Central
371295713,IL,Illinois,MENTAL HEALTH CENTER OF CHAMPAIGN COUNTY HOUSING CORPORATION,1801 FOX DR,CHAMPAIGN,17019,1993,L20,Midwest,East North Central
371311590,IL,Illinois,TAZWOOD COMMUNITY SERVICES INC,2109 S MAIN ST,MORTON,17179,1994,S80,Midwest,East North Central
371311976,IL,Illinois,NEIGHBORS UNITED FOR PROGRESS,4010 MCCALLUM CT,ALORTON,17163,1994,S22,Midwest,East North Central
371314292,IL,Illinois,HOMESTEAD CORPORATION CHAMPAIGN - URBANA,306 W GRIGGS ST,URBANA,17019,1996,L20,Midwest,East North Central
371375109,IL,Illinois,COMMUNITY COLLABORATION FOR ECONOMIC DEVELOPMENT,701 DEVONSHIRE DR,CHAMPAIGN,17019,1999,S30,Midwest,East North Central
371377670,IL,Illinois,ILLINOIS COMMUNITY ACTION CDC,3435 LIBERTY DRIVE,SPRINGFIELD,17167,1998,S20,Midwest,East North Central
371385062,IL,Illinois,ST SHARBELS MARONITE HOUSING CORPORATION II,2914 WEST SCENIC DRIVE,PEORIA,17143,2000,L21,Midwest,East North Central
371387014,IL,Illinois,TSP-HOPE INC,PO BOX 6091,SPRINGFIELD,17167,2000,L20,Midwest,East North Central
371389231,IL,Illinois,NEHEMIAH EXPANSION,2208 E KANSAS ST,SPRINGFIELD,17167,2000,P33,Midwest,East North Central
371392514,IL,Illinois,PEORIA OPPORTUNITIES FOUNDATION,512 E KANSAS ST,PEORIA,17143,2000,L20,Midwest,East North Central
371398574,IL,Illinois,HOUSING SOLUTIONS INC,407 BELT LINE ROAD NO 249,COLLINSVILLE,17119,2002,L21,Midwest,East North Central
371404032,IL,Illinois,AFFORDABLE HOUSING DEVELOPMENT CORPORATION,1609 OLIVE ST,COLLINSVILLE,17119,2002,L21,Midwest,East North Central
371410633,IL,Illinois,CHRISTIAN COUNTY INTEGRATED COMMUNITY SERVICES,3028 HAPPY LANDING DR,SPRINGFIELD,17021,2003,L20,Midwest,East North Central
